#
# Engine name: 15kN Ethalox
# Tue 6. Oct 10:01:18 2020
#
# Lc= 189.42695 mm	 Rc=  65.76221 mm
# R1=  37.28367 mm	 R2= 134.02304 mm
# bc=  30.00000   	 Rt=  24.85578 mm
# Le= 169.91768 mm	 Re=  69.98170 mm
# Rn=   9.49491 mm
# c1=  22.97051   	 c2=   8.00000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
  306.57330	   60.73491
  306.93264	   60.81099
  307.29199	   60.88696
  307.65133	   60.96258
  308.01067	   61.03820
  308.37002	   61.11344
  308.72936	   61.18860
  309.08871	   61.26358
  309.44805	   61.33827
  309.80740	   61.41296
  310.16674	   61.48723
  310.52609	   61.56146
  310.88543	   61.63546
  311.24478	   61.70923
  311.60412	   61.78298
  311.96347	   61.85630
  312.32281	   61.92961
  312.68216	   62.00264
  313.04150	   62.07550
  313.40084	   62.14828
  313.76019	   62.22068
  314.11953	   62.29308
  314.47888	   62.36515
  314.83822	   62.43709
  315.19757	   62.50892
  315.55691	   62.58041
  315.91626	   62.65190
  316.27560	   62.72301
  316.63495	   62.79405
  316.99429	   62.86492
  317.35364	   62.93550
  317.71298	   63.00609
  318.07232	   63.07626
  318.43167	   63.14639
  318.79101	   63.21632
  319.15036	   63.28600
  319.50970	   63.35568
  319.86905	   63.42492
  320.22839	   63.49415
  320.58774	   63.56315
  320.94708	   63.63193
  321.30643	   63.70069
  321.66577	   63.76902
  322.02512	   63.83735
  322.38446	   63.90542
  322.74380	   63.97331
  323.10315	   64.04115
  323.46249	   64.10858
  323.82184	   64.17602
  324.18118	   64.24318
  324.54053	   64.31017
  324.89987	   64.37710
  325.25922	   64.44365
  325.61856	   64.51020
  325.97791	   64.57644
  326.33725	   64.64255
  326.69660	   64.70857
  327.05594	   64.77423
  327.41528	   64.83989
  327.77463	   64.90524
  328.13397	   64.97046
  328.49332	   65.03559
  328.85266	   65.10037
  329.21201	   65.16515
  329.57135	   65.22960
  329.93070	   65.29394
  330.29004	   65.35818
  330.64939	   65.42208
  331.00873	   65.48598
  331.36808	   65.54955
  331.72742	   65.61301
  332.08676	   65.67637
  332.44611	   65.73939
  332.80545	   65.80242
  333.16480	   65.86512
  333.52414	   65.92770
  333.88349	   65.99019
  334.24283	   66.05234
  334.60218	   66.11449
  334.96152	   66.17632
  335.32087	   66.23804
  335.68021	   66.29966
  336.03956	   66.36094
  336.39890	   66.42222
  336.75824	   66.48319
  337.11759	   66.54404
  337.47693	   66.60481
  337.83628	   66.66522
  338.19562	   66.72564
  338.55497	   66.78576
  338.91431	   66.84575
  339.27366	   66.90566
  339.63300	   66.96521
  339.99235	   67.02477
  340.35169	   67.08404
  340.71104	   67.14317
  341.07038	   67.20224
  341.42973	   67.26094
  341.78907	   67.31964
  342.14841	   67.37807
  342.50776	   67.43634
  342.86710	   67.49458
  343.22645	   67.55242
  343.58579	   67.61026
  343.94514	   67.66787
  344.30448	   67.72529
  344.66383	   67.78270
  345.02317	   67.83969
  345.38252	   67.89668
  345.74186	   67.95347
  346.10121	   68.01003
  346.46055	   68.06660
  346.81989	   68.12277
  347.17924	   68.17891
  347.53858	   68.23488
  347.89793	   68.29060
  348.25727	   68.34632
  348.61662	   68.40168
  348.97596	   68.45698
  349.33531	   68.51214
  349.69465	   68.56702
  350.05400	   68.62189
  350.41334	   68.67645
  350.77269	   68.73090
  351.13203	   68.78527
  351.49137	   68.83931
  351.85072	   68.89334
  352.21006	   68.94710
  352.56941	   69.00072
  352.92875	   69.05429
  353.28810	   69.10749
  353.64744	   69.16069
  354.00679	   69.21366
  354.36613	   69.26645
  354.72548	   69.31923
  355.08482	   69.37160
  355.44417	   69.42397
  355.80351	   69.47616
  356.16285	   69.52811
  356.52220	   69.58006
  356.88154	   69.63165
  357.24089	   69.68319
  357.60023	   69.73460
  357.95958	   69.78572
  358.31892	   69.83685
  358.67827	   69.88767
  359.03761	   69.93838
  359.34463	   69.98170
